x_ethanol,Tbub,y_ethanol,Tdew
0.65,353.552,0.65,360.421
0.651251,353.541,0.651251,360.374
0.652499,353.531,0.652499,360.326
0.653743,353.52,0.653743,360.278
0.654985,353.51,0.654985,360.23
0.656223,353.499,0.656223,360.182
0.657458,353.489,0.657458,360.135
0.65869,353.478,0.65869,360.087
0.65992,353.468,0.65992,360.039
0.661146,353.458,0.661146,359.991
0.662369,353.448,0.662369,359.943
0.663588,353.437,0.663588,359.895
0.664805,353.427,0.664805,359.846
0.666019,353.417,0.666019,359.798
0.66723,353.407,0.66723,359.75
0.668438,353.397,0.668438,359.702
0.669643,353.386,0.669643,359.654
0.670845,353.376,0.670845,359.605
0.672044,353.366,0.672044,359.557
0.673239,353.356,0.673239,359.509
0.674432,353.346,0.674432,359.461
0.675623,353.336,0.675623,359.412
0.67681,353.326,0.67681,359.364
0.677994,353.316,0.677994,359.315
0.679175,353.306,0.679175,359.267
0.680354,353.296,0.680354,359.218
0.681529,353.287,0.681529,359.17
0.682702,353.277,0.682702,359.121
0.683872,353.267,0.683872,359.073
0.685039,353.257,0.685039,359.024
0.686203,353.247,0.686203,358.976
0.687364,353.238,0.687364,358.927
0.688523,353.228,0.688523,358.878
0.689679,353.218,0.689679,358.83
0.690831,353.209,0.690831,358.781
0.691982,353.199,0.691982,358.732
0.693129,353.189,0.693129,358.684
0.694273,353.18,0.694273,358.635
0.695415,353.17,0.695415,358.586
0.696554,353.16,0.696554,358.538
0.697691,353.151,0.697691,358.489
0.698824,353.141,0.698824,358.44
0.699955,353.132,0.699955,358.391
0.701083,353.122,0.701083,358.343
0.702209,353.113,0.702209,358.294
0.703332,353.104,0.703332,358.245
0.704452,353.094,0.704452,358.196
0.705569,353.085,0.705569,358.147
0.706684,353.075,0.706684,358.099
0.707796,353.066,0.707796,358.05
0.708905,353.057,0.708905,358.001
0.710012,353.048,0.710012,357.952
0.711116,353.038,0.711116,357.904
0.712218,353.029,0.712218,357.855
0.713317,353.02,0.713317,357.806
0.714414,353.011,0.714414,357.757
0.715507,353.001,0.715507,357.709
0.716599,352.992,0.716599,357.66
0.717687,352.983,0.717687,357.611
0.718773,352.974,0.718773,357.563
0.719857,352.965,0.719857,357.514
0.720938,352.956,0.720938,357.465
0.722017,352.947,0.722017,357.417
0.723093,352.938,0.723093,357.368
0.724166,352.929,0.724166,357.32
0.725237,352.92,0.725237,357.271
0.726305,352.911,0.726305,357.223
0.727371,352.902,0.727371,357.174
0.728435,352.893,0.728435,357.126
0.729496,352.884,0.729496,357.078
0.730555,352.875,0.730555,357.029
0.731611,352.866,0.731611,356.981
0.732664,352.858,0.732664,356.933
0.733716,352.849,0.733716,356.885
0.734764,352.84,0.734764,356.837
0.735811,352.831,0.735811,356.789
0.736855,352.823,0.736855,356.741
0.737896,352.814,0.737896,356.693
0.738936,352.805,0.738936,356.645
0.739972,352.796,0.739972,356.597
0.741007,352.788,0.741007,356.549
0.742039,352.779,0.742039,356.502
0.743069,352.771,0.743069,356.454
0.744096,352.762,0.744096,356.407
0.745121,352.753,0.745121,356.359
0.746144,352.745,0.746144,356.312
0.747164,352.736,0.747164,356.265
0.748182,352.728,0.748182,356.218
0.749198,352.719,0.749198,356.171
0.750211,352.711,0.750211,356.124
0.751222,352.702,0.751222,356.077
0.752231,352.694,0.752231,356.031
0.753237,352.686,0.753237,355.984
0.754242,352.677,0.754242,355.938
0.755244,352.669,0.755244,355.892
0.756243,352.661,0.756243,355.846
0.757241,352.652,0.757241,355.8
0.758236,352.644,0.758236,355.754
0.759229,352.636,0.759229,355.708
0.76022,352.628,0.76022,355.663
0.761208,352.619,0.761208,355.617
0.762195,352.611,0.762195,355.572
0.763179,352.603,0.763179,355.527
0.764161,352.595,0.764161,355.482
0.765141,352.587,0.765141,355.438
0.766118,352.579,0.766118,355.393
0.767093,352.571,0.767093,355.349
0.768067,352.563,0.768067,355.305
0.769038,352.555,0.769038,355.261
0.770007,352.547,0.770007,355.218
0.770973,352.539,0.770973,355.174
0.771938,352.531,0.771938,355.131
0.7729,352.523,0.7729,355.088
0.773861,352.515,0.773861,355.045
0.774819,352.507,0.774819,355.003
0.775775,352.499,0.775775,354.96
0.776729,352.491,0.776729,354.918
0.777681,352.483,0.777681,354.876
0.778631,352.476,0.778631,354.835
0.779579,352.468,0.779579,354.794
0.780524,352.46,0.780524,354.753
0.781468,352.452,0.781468,354.712
0.782409,352.445,0.782409,354.671
0.783349,352.437,0.783349,354.631
0.784286,352.429,0.784286,354.591
0.785222,352.422,0.785222,354.552
0.786155,352.414,0.786155,354.512
0.787086,352.407,0.787086,354.473
0.788015,352.399,0.788015,354.434
0.788943,352.392,0.788943,354.396
0.789868,352.384,0.789868,354.358
0.790791,352.377,0.790791,354.32
0.791712,352.369,0.791712,354.282
0.792632,352.362,0.792632,354.245
0.793549,352.354,0.793549,354.208
0.794464,352.347,0.794464,354.172
0.795377,352.34,0.795377,354.136
0.796289,352.332,0.796289,354.1
0.797198,352.325,0.797198,354.064
0.798106,352.318,0.798106,354.029
0.799011,352.311,0.799011,353.994
0.799915,352.303,0.799915,353.959
0.800816,352.296,0.800816,353.925
0.801716,352.289,0.801716,353.891
0.802614,352.282,0.802614,353.857
0.80351,352.275,0.80351,353.824
0.804403,352.268,0.804403,353.791
0.805296,352.261,0.805296,353.758
0.806186,352.254,0.806186,353.726
0.807074,352.247,0.807074,353.694
0.80796,352.24,0.80796,353.663
0.808845,352.233,0.808845,353.631
0.809727,352.226,0.809727,353.6
0.810608,352.219,0.810608,353.57
0.811487,352.212,0.811487,353.539
0.812364,352.205,0.812364,353.509
0.813239,352.198,0.813239,353.48
0.814112,352.191,0.814112,353.45
0.814984,352.185,0.814984,353.421
0.815854,352.178,0.815854,353.393
0.816721,352.171,0.816721,353.364
0.817587,352.164,0.817587,353.336
0.818452,352.158,0.818452,353.308
0.819314,352.151,0.819314,353.281
0.820175,352.145,0.820175,353.254
0.821033,352.138,0.821033,353.227
0.82189,352.131,0.82189,353.201
0.822746,352.125,0.822746,353.174
0.823599,352.118,0.823599,353.149
0.824451,352.112,0.824451,353.123
0.8253,352.106,0.8253,353.098
0.826149,352.099,0.826149,353.073
0.826995,352.093,0.826995,353.048
0.827839,352.086,0.827839,353.024
0.828682,352.08,0.828682,352.999
0.829523,352.074,0.829523,352.976
0.830363,352.068,0.830363,352.952
0.8312,352.061,0.8312,352.929
0.832036,352.055,0.832036,352.906
0.832871,352.049,0.832871,352.883
0.833703,352.043,0.833703,352.861
0.834534,352.037,0.834534,352.839
0.835363,352.031,0.835363,352.817
0.83619,352.025,0.83619,352.795
0.837016,352.019,0.837016,352.774
0.83784,352.013,0.83784,352.753
0.838662,352.007,0.838662,352.732
0.839483,352.001,0.839483,352.711
0.840302,351.995,0.840302,352.691
0.841119,351.989,0.841119,352.671
0.841934,351.983,0.841934,352.651
0.842748,351.977,0.842748,352.631
0.843561,351.972,0.843561,352.612
0.844371,351.966,0.844371,352.593
0.84518,351.96,0.84518,352.574
0.845988,351.954,0.845988,352.556
0.846793,351.949,0.846793,352.537
0.847597,351.943,0.847597,352.519
0.8484,351.938,0.8484,352.501
0.849201,351.932,0.849201,352.484
0.85,351.926,0.85,352.466
0.75,352.713,0.75,356.134
0.750858,352.706,0.750858,356.094
0.751715,352.698,0.751715,356.055
0.75257,352.691,0.75257,356.015
0.753424,352.684,0.753424,355.976
0.754276,352.677,0.754276,355.936
0.755126,352.67,0.755126,355.897
0.755975,352.663,0.755975,355.858
0.756822,352.656,0.756822,355.819
